Broken_URL,HTTP_Status,Source_File,Original_Link_Text,Issue_Type,Suggested_Fix
http://localhost:8000/auntruth/htm/jpg/bj102.jpg,404,THMB.htm,/jpg/bj102.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj102.jpg,404,THBeause.htm,/jpg/bj102.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj102.jpg,404,TH1983.htm,/jpg/bj102.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj103.jpg,404,THMB.htm,/jpg/bj103.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj103.jpg,404,THBeause.htm,/jpg/bj103.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj103.jpg,404,TH1983.htm,/jpg/bj103.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj104.jpg,404,THMB.htm,/jpg/bj104.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj104.jpg,404,THBeause.htm,/jpg/bj104.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj104.jpg,404,TH1983.htm,/jpg/bj104.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj105.jpg,404,THMB.htm,/jpg/bj105.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj105.jpg,404,THBeause.htm,/jpg/bj105.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj105.jpg,404,TH1983.htm,/jpg/bj105.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj106.jpg,404,THMB.htm,/jpg/bj106.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj106.jpg,404,THBeause.htm,/jpg/bj106.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj106.jpg,404,TH1993.htm,/jpg/bj106.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj107.jpg,404,THMB.htm,/jpg/bj107.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj107.jpg,404,TH1999.htm,/jpg/bj107.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj107.jpg,404,THBeause.htm,/jpg/bj107.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj108.jpg,404,THMB.htm,/jpg/bj108.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj108.jpg,404,TH1999.htm,/jpg/bj108.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj108.jpg,404,THWinnip.htm,/jpg/bj108.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj109.jpg,404,THSK.htm,/jpg/bj109.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj109.jpg,404,TH1995.htm,/jpg/bj109.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj11.jpg,404,THMB.htm,/jpg/bj11.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj11.jpg,404,THBeause.htm,/jpg/bj11.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj11.jpg,404,TH1983.htm,/jpg/bj11.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj110.jpg,404,THAB.htm,/jpg/bj110.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
http://localhost:8000/auntruth/htm/jpg/bj110.jpg,404,TH1995.htm,/jpg/bj110.jpg,File Not Found,Check if image file exists with different case (.JPG vs .jpg)
